URL Page,users,uniquePageviews,pageviews,Brand,Posted On (DD/MM/YYYY),Month,Product
/2020/5/merWlease0.12507500492458,604.8,612.2,643.4,Me}_[8WU)-c8ZZ5C,00:44.0,5,merWlease0.12507500492458
/2020/5/mezNvideo0.991263623008965,124.8,127.8,136.8,"muy(D#""d02`vwt_^",11:05.0,5,mezNvideo0.991263623008965
/2020/5/micWnside0.363256679978705,4631.8,4700.2,4955.2,MiUaU$CaeJTN%h]2,31:09.0,5,micWnside0.363256679978705
/2020/5/micLtfits0.792819160058051,7763.2,7854.8,8512,MiUaU$CaeJTN%h]2,00:19.0,5,micLtfits0.792819160058051
/2020/5/micy-info0.991181556024737,932,945.4,1005.6,MiUNo1$pZkrlcw>M,28:18.0,5,micy-info0.991181556024737
/2020/5/micVdates0.579459370831415,360.4,365.6,381.8,Mi__fj]KA`I88d{2,23:21.0,5,micVdates0.579459370831415
/2020/5/micftream0.665010823861485,671,691,736.2,MiUNo1$pZkrlcw>M,32:53.0,5,micftream0.665010823861485
/2020/5/migftream0.733235497416356,373.8,382.6,416,Mixa|S7!.9$27*S@,56:14.0,5,migftream0.733235497416356
/2020/5/mig\tream0.0997897494216154,283.8,290.4,307.4,Mixa|S7!.9$27*S@,14:06.0,5,mig\tream0.0997897494216154
/2020/5/mig_tream0.105847657173739,170,173.2,184.6,Mixa|S7!.9$27*S@,54:03.0,5,mig_tream0.105847657173739
/2020/5/migQtream0.79663447598116,546.4,551.6,596.4,Mixa|S7!.9$27*S@,03:40.0,5,migQtream0.79663447598116
/2020/5/mik[-info0.59430818815795,499.8,507.8,542,"MiQ?T|,p,b'}xhh2",28:51.0,5,mik[-info0.59430818815795
/2020/5/mikX-date0.74518781144342,154.2,159.2,167.6,"muy(D#""d02`vwt_^",10:32.0,5,mikX-date0.74518781144342
/2020/5/mikIrumor0.0927820931256668,919.8,937.2,1000.4,Bo1;@y~z)yfH>zE%,20:15.0,5,mikIrumor0.0927820931256668
/2020/5/minzeleas0.567178268909833,3003.6,3048.2,3289,miD{{DH}m6ZJsF+H,53:20.0,5,minzeleas0.567178268909833
/2020/5/misovirus0.916643358441229,348.2,355.8,371,CoSRrvHqC*_a$dAY,04:49.0,5,misovirus0.916643358441229
/2020/5/mlbsid-190.447779433553872,200.2,203.8,214.6,ML3@'~-p]A4z$+0j,54:51.0,5,mlbsid-190.447779433553872
/2020/5/mobPaming0.689070295324861,1043.6,1073.4,1214.6,AnPoI\$xgW.:kgQ{,22:08.0,5,mobPaming0.689070295324861
/2020/5/momKstaff0.856368357678475,312,316.2,336.6,Mo9`j>Cm8|;1L0su,07:26.0,5,momKstaff0.856368357678475
/2020/5/momlition0.859792276762177,792.8,804.8,882.8,"Ac8IJsKH,4xtY.Tk",15:12.0,5,momlition0.859792276762177
/2020/5/mon[lease0.760539751401357,863,887.2,969.4,"Mo,o.]e?.?N$}7So",14:54.0,5,mon[lease0.760539751401357
/2020/5/monNvideo0.234842716202656,65.8,66.4,70.4,"muy(D#""d02`vwt_^",14:33.0,5,monNvideo0.234842716202656
/2020/5/monPtream0.635148361540398,3521.6,3573.2,3857.8,Al_w1b7Rgo1[d5(t,55:15.0,5,monPtream0.635148361540398
/2020/5/mono-info0.15843521887195,804.4,821,884.6,Mo>427CknG`93wsX,51:27.0,5,mono-info0.15843521887195
/2020/5/moneornia0.789418999496212,1710.4,1734.2,1884.4,AryYV46O9(Znn]88,30:47.0,5,moneornia0.789418999496212
/2020/5/mooytream0.096104463494165,226.2,244,271.4,Al_w1b7Rgo1[d5(t,05:40.0,5,mooytream0.096104463494165
/2020/5/mooa-info0.0747271410966878,436.6,450.8,493.2,MoOo-qXuJLxyI:hx,03:33.0,5,mooa-info0.0747271410966878
/2020/5/mor`lease0.299357750820067,563.4,577.4,610.4,Mc&v?E*9%}~WP@rD,47:33.0,5,mor`lease0.299357750820067
/2020/5/morIbocop0.556749740222596,681,696,745,Ga?%G!/m1PzuNFtA,39:25.0,5,morIbocop0.556749740222596
/2020/5/morWailer0.634490508540631,608.2,621.2,655.2,Bajz2xfRW4:;{'sx,16:13.0,5,morWailer0.634490508540631
/2020/5/mor]ailer0.613528126475718,1017.8,1038,1099.6,Ga?%G!/m1PzuNFtA,24:55.0,5,mor]ailer0.613528126475718
/2020/5/mos`video0.670116020225168,22.8,23.2,24.8,"muy(D#""d02`vwt_^",12:28.0,5,mos`video0.670116020225168
/2020/5/mosFvideo0.395006765660625,27.4,28.8,31.4,"muy(D#""d02`vwt_^",53:21.0,5,mosFvideo0.395006765660625
/2020/5/mosotream0.831264874359975,126.2,127.6,135,Al_w1b7Rgo1[d5(t,50:16.0,5,mosotream0.831264874359975
