5860,6,974
6582,6,156
4018,10,812
4550,5,496
5503,1,789
5804,1,322
6496,5,770
7019,9,298
7366,10,662
7564,10,206
7664,11,539
8110,5,69
3437,11,1076
3992,1,938
4231,4,1152
5590,4,1097
910,3,756
6222,11,875
3990,7,509
828,6,129
1992,1,160
8199,12,335
3998,5,1048
5796,7,1203
964,11,1269
7308,4,725
2213,8,886
3839,9,1025
5445,5,630
1061,8,888
1352,5,-77
8309,1,179
8325,1,751
5234,10,710
5959,10,1580
1658,2,225
3744,5,1003
7372,4,356
7689,7,313
5302,6,697
290,6,365
1535,8,347
6324,7,642
6343,5,527
1767,4,1035
3121,9,926
3125,6,728
3491,6,121
1880,5,132
2180,11,14
2328,3,506
4117,11,227
4329,6,950
762,2,171
1068,4,1519
1869,8,555
2283,3,324
7847,7,404
4618,4,1720
995,6,373
7319,2,171
7848,9,455
3180,8,552
5711,12,528
449,4,690
949,11,876
1472,10,916
2190,9,276
4999,1,1104
813,4,219
6005,6,1251
1538,8,163
4750,3,304
723,11,187
6257,5,1219
1753,9,162
7627,8,452
7868,2,303
1480,10,306
1552,8,2395
1670,7,9
8124,8,953
2956,5,406
4102,3,48
6468,9,344
7413,4,424
7507,8,997
3905,6,622
4785,9,19
1689,6,889
2082,6,1422
7903,12,241
4807,5,603
705,5,167
1165,4,1820
6067,5,512
6367,12,1189
2322,6,65
2554,10,720
3011,8,597
4257,8,43
4728,10,455
1376,7,121
1443,4,56
6745,4,534
2151,5,1445
7548,5,204
2630,2,17
2854,9,1075
3055,7,200
4283,2,987
5695,9,60
447,8,1061
6117,12,1071
1453,5,536
2317,12,406
7790,10,234
4291,5,1717
4838,12,615
4918,12,844
267,1,818
6001,12,909
2529,3,579
5615,9,931
5751,12,221
368,5,893
1644,9,972
3192,8,708
2428,3,1538
8022,1,-221
8199,9,796
4414,1,741
5343,10,366
2222,2,585
8184,8,46
3011,11,733
3159,10,136
3668,7,201
4499,1,840
4552,11,543
4559,1,457
396,6,165
6075,9,989
1441,11,783
2701,1,311
7915,5,335
3872,7,496
419,8,852
3762,6,1157
1815,3,453
7146,7,689
2329,2,350
3122,8,768
3418,7,300
5026,4,320
5808,2,147
5844,12,287
2967,12,146
3126,6,375
3729,8,144
614,6,179
963,5,831
2423,7,727
84,10,320
160,8,766
591,3,298
945,12,166
1320,5,533
6371,5,235
3359,3,366
5153,6,84
6495,10,0
6699,3,22
6756,1,516
1796,12,907
2951,11,1146
3002,8,244
995,3,432
1857,4,1139
1997,6,1404
8126,1,1101
8188,12,423
3948,5,479
5345,1,525
5381,6,606
1968,1,872
7640,3,133
2695,1,164
3796,12,259
679,7,1199
1037,12,13
7477,2,68
7863,5,180
3092,11,781
4191,8,370
4217,3,140
553,12,880
664,12,100
4746,4,68
5024,3,134
6807,5,401
7608,5,492
2875,8,905
5479,4,570
789,3,303
889,7,1284
6691,2,1303
6747,4,247
2131,2,423
8362,6,857
3487,11,655
4034,10,753
5109,10,104
5225,8,485
6646,9,38
7084,11,1081
8265,11,894
3110,8,808
5352,9,164
5445,8,343
5848,10,63
6052,7,860
6622,11,1375
2029,4,129
8191,12,203
2887,10,603
3105,3,85
3219,8,630
5200,11,444
5513,1,792
223,12,618
659,7,483
2231,9,177
8035,9,1172
3978,8,280
5270,5,82
5833,5,296
283,4,675
830,3,629
1196,7,308
6560,10,655
7323,6,426
4402,11,942
189,5,441
853,9,594
1368,6,754
6653,10,877
7392,11,476
7749,10,910
8029,7,102
3794,2,1088
1039,11,479
7876,6,991
5887,3,598
5895,2,297
635,10,923
1576,4,128
2070,4,756
8211,6,244
4733,12,237
56,12,351
93,1,775
918,3,304
6051,10,351
6642,10,84
1717,10,791
5078,12,279
5422,8,597
5705,3,1110
1964,6,195
7360,11,408
2744,12,431
7924,5,317
2909,3,87
3908,2,1167
698,12,237
7723,7,1070
7858,3,558
5037,2,573
6984,12,861
3130,8,487
902,12,393
6362,9,1006
7158,5,880
7417,2,1159
8329,3,607
5193,3,661
5807,3,588
1242,12,213
2233,8,765
2853,1,99
4046,3,545
4247,10,1911
5086,5,441
5157,4,270
194,2,828
7408,10,646
7977,10,735
5697,5,1017
6843,5,486
7047,2,1141
7317,11,13
7672,2,1042
4055,4,903
4314,4,1535
277,2,167
358,6,804
433,10,279
6779,5,740
1846,10,60
7746,5,18
3142,8,1003
3320,5,1432
3639,9,87
4094,11,1157
998,7,1002
6101,11,235
7426,1,46
3809,9,309
3946,11,1183
298,3,1786
1011,11,979
2340,12,427
3540,9,758
4449,4,1112
1549,1,769
1835,8,170
3205,12,91
3567,12,283
349,12,365
3963,10,293
5332,12,390
5598,10,415
2795,7,1479
4011,1,1049
646,4,454
799,8,615
1383,5,1102
1615,7,1090
5219,9,588
7361,6,985
2139,10,330
7569,6,366
2899,5,912
3694,2,138
3724,5,763
307,8,139
310,8,893
6423,2,403
6888,12,-37
7011,6,209
7675,5,249
3577,4,1008
4356,2,1205
4954,3,326
5663,5,498
6493,5,306
6627,12,756
7781,6,65
3498,10,381
3581,6,195
4561,6,98
1528,10,276
6924,9,1037
7455,1,437
7697,4,477
6434,8,122
7356,8,509
3325,6,713
4697,10,1594
5137,7,493
6088,11,1214
6472,8,102
6610,6,25
7424,12,394
2379,7,222
2413,5,224
2592,12,17
3572,1,140
6885,12,1159
6917,2,623
1588,2,928
7243,9,1018
7409,3,379
2320,4,335
2345,11,123
3363,3,1067
4630,5,588
390,8,393
493,10,1015
7038,8,589
3151,2,824
3314,1,336
179,2,722
559,9,1255
605,12,728
6123,8,314
6375,9,60
2330,5,1227
2558,4,187
5285,9,848
5777,9,178
221,4,1154
222,5,357
6516,3,208
7811,9,2411
3841,4,359
4608,2,842
842,3,833
6404,5,244
3421,9,606
1270,5,437
7518,2,642
8016,9,1151
3716,3,871
4358,11,756
4566,9,539
5785,3,749
90,9,734
1064,6,621
6048,4,576
8250,5,980
4202,4,538
5377,11,1033
1020,7,318
6323,6,826
7458,4,489
2488,8,743
918,6,364
1195,5,1105
4211,7,251
4572,1,1125
4727,10,1134
5694,8,654
1086,11,307
6298,11,793
6350,5,528
1770,4,1665
8316,10,1506
3544,10,988
3969,3,830
213,2,787
1236,5,467
1648,4,756
1667,1,84
1965,8,58
8118,5,895
3130,11,860
4012,1,614
4774,3,642
875,5,521
1125,8,352
6935,9,1160
1666,3,1797
2876,9,512
3990,4,246
4602,8,890
722,4,678
8030,5,924
3598,10,671
145,11,826
302,5,1004
6744,7,598
1907,1,1515
7590,5,951
4645,3,423
237,12,896
862,2,185
1400,2,349
6653,7,501
2852,8,486
5710,8,1236
5755,3,717
2420,11,380
8208,11,190
5492,6,645
7868,8,687
7877,4,777
7036,8,546
2359,6,135
2629,7,472
2698,9,1283
8094,11,9
2759,2,1032
3208,1,382
5282,1,601
5580,1,2
1335,8,589
1460,11,448
1581,5,968
1596,2,344
3589,4,348
4469,6,77
4760,1,901
20,9,1119
766,6,511
2855,10,1118
3701,10,521
3722,1,107
1201,8,651
6797,8,860
1678,1,274
2146,8,1561
8242,6,82
3856,1,214
4275,4,971
4444,5,-70
828,3,203
2124,6,296
3530,3,501
3970,1,587
5389,11,629
367,7,0
513,11,532
1383,8,105
3303,12,326
1003,3,503
7265,8,726
7690,4,157
2570,11,159
2984,5,98
3043,3,1219
4040,5,473
4540,1,65
5036,5,567
8071,9,256
3016,9,83
638,8,478
7342,10,1166
2839,12,624
3141,12,492
4791,6,1051
1032,5,68
7203,12,108
2365,2,452
4955,2,159
5648,8,265
58,2,46
452,2,1175
7564,7,741
4600,3,487
5411,2,1093
438,11,311
489,10,474
1075,12,643
1329,6,661
7097,3,1161
1697,11,441
7428,9,240
3100,11,437
3676,8,811
4045,6,60
274,1,611
3317,10,221
5266,2,397
590,2,143
2073,1,803
7568,7,591
8357,7,473
4420,1,566
5116,5,941
1061,11,686
6885,9,205
7056,4,1086
7857,1,2500
2685,9,77
8183,10,7
4591,7,627
6033,3,789
2055,11,1765
2771,11,287
3892,4,959
1309,7,855
6522,3,712
7593,3,459
2580,5,69
3325,3,1027
5224,6,425
321,12,1041
921,3,904
2042,1,93
3014,8,1035
3070,6,1125
3586,6,139
6156,3,839
6637,7,290
2290,12,1276
7716,2,302
2797,3,285
5169,9,359
1729,10,507
2303,1,806
2874,10,78
3818,7,187
6066,11,265
1240,11,1237
1949,3,380
5832,8,1341
608,7,103
1969,11,543
1051,4,340
1352,2,144
7375,9,1093
7561,9,1111
2817,12,78
8331,3,1091
4134,12,391
5441,7,823
791,9,695
8349,3,701
3940,4,534
4415,7,96
5199,10,252
5737,1,1011
7560,3,81
5260,10,736
484,6,186
1118,4,448
5999,7,808
6257,8,774
1447,5,632
6543,7,855
2502,4,437
5143,8,497
500,8,626
1538,5,101
6917,8,982
7050,12,365
7232,4,363
7736,6,521
3343,1,984
3622,6,814
3954,3,318
4685,9,650
4819,5,216
1767,7,361
2227,12,47
4050,6,518
5966,4,958
1663,11,550
1784,7,17
2259,11,221
7524,10,523
4586,2,798
4709,8,657
560,4,712
6268,10,913
2885,5,917
3439,3,387
3594,10,827
5898,8,759
359,9,672
1362,9,73
3749,8,27
4991,2,443
2138,11,380
8004,6,272
6873,4,848
7124,6,217
7689,4,703
4595,1,1099
790,5,12
891,12,564
6526,6,309
7332,5,877
7358,1,644
